Tweet Number,Tweet Username,Tweet Text,Tweet Date,Tweet Geo
46,homeopathyworks,"With a homeopathic perspective, chronic Lyme disease needn’t be that complicated or even worrisome. Read this blog post and find out my recommendations for rooting out this disease. https:// joettecalabrese.com/ChronicLymeDis easeTweet … #homeopathy #homeopathyworks #homeopathyforlymedisease #chroniclymedisease",2017-11-14 00:45:07+00:00,
47,JoetteCalabrese,Here is a first hand account of what to do when you suspect Lyme disease. This blog post goes over the steps to take to address this disease homeopathically. https:// joettecalabrese.com/LymeLymeLymeTw eet … #homeopathy #homeopathyworks #homeopathyforlymedisease #lymedisease #lyme #chroniclymedisease,2017-11-13 14:55:13+00:00,
48,htween12,A living hell #CHRONICLymeDisease pic.twitter.com/aAtF4bPDAJ,2017-11-13 03:27:35+00:00,
49,ChristieMLeto,Always blows me away! Just came across it in my media again & it bring out the #LymeRage #ChronicLymeDisease #CDCWillBeHeldAccountable pic.twitter.com/TYoWVM7ZSK,2017-11-12 16:56:37+00:00,
50,i_luv_ewe,(Because some days I'm too tired to do anything because of #ChronicLymeDisease ),2017-11-11 18:16:12+00:00,
51,i_luv_ewe,What I feel I look like when #Kickboxing . Happy 2 have strength 2 do that. #ChronicLymeDisease #Healing pic.twitter.com/7WFsr32coU,2017-11-11 18:14:53+00:00,
52,ChristieMLeto,Thank you Mary Beth. #Hope is everything for us #ChronicLymeDisease https:// twitter.com/marybethpf/sta tus/929166089514348545 …,2017-11-11 02:01:05+00:00,
53,ChristieMLeto,My rt leg alone has an awful lot to say! #MarrowPain #MusclePain #SqueezngSensation #BrokenAnkleFeeling #ChronicLymeDisease,2017-11-10 22:28:46+00:00,
54,carinnedowns,"On Thursday’s, we refill meds #chroniclymedisease … https://www. instagram.com/p/BbSePdTAxMZU Cl1pbG7s_qUaiL6YjJAI3vLfuc0/ …",2017-11-09 21:00:19+00:00,
55,KyleiJo,@AvrilLavigne I’m 14 with #chroniclymedisease #lyme Where is raised monies going since my mom has had to pay $$$we are still so sick pic.twitter.com/DJ2sp6hH6S,2017-11-07 13:45:58+00:00,
56,ChristieMLeto,Lol at 33 my Gyno said it was peri menopause #LymeIgnorance I keep an extra tshirt under my pillow #ChronicLymeDisease #Babesia #NightSweats,2017-11-06 21:39:48+00:00,
57,RainbowSong777,Yes to kosher dill spears. One per day is for my body #lyme #lymedisease #chroniclymedisease #liver #liverhealth http:// nutrilligence.com/programs/liver _health1.html …,2017-11-06 17:44:59+00:00,
58,InconvenientTr1,"This #BlueCross agent made my day, though he's probably fired by now. BUT STILL, NOT MEDICAL DOCTOR IN PINELLAS COUNTY WILL TREAT #CHRONICLYMEDISEASE . #CLEARWATERBEACH @theflabar pic.twitter.com/dKcbwiocOt",2017-11-05 23:37:34+00:00,
59,ayneKcM,#ChronicLymeDisease #MS @JohnMorganESQ @forthepeople https://www. ncbi.nlm.nih.gov/pubmed/1561784 5?dopt=Abstract …,2017-11-02 20:53:48+00:00,
60,Warriortotruth,"Please listen #Fibromyalgia #MS #ALS #Parkinsons #Alzheimers I’ve known this for years, everyone needs too #ChronicLymeDisease https:// twitter.com/dralmiller/sta tus/915535080055083009 …",2017-11-02 04:15:03+00:00,
61,ayneKcM,#ChronicLymeDisease #MS https://www. ncbi.nlm.nih.gov/pubmed/1561784 5?dopt=Abstract …,2017-10-28 04:56:06+00:00,
62,i_luv_ewe,#ChronicLymeDisease Fun pic.twitter.com/SXTRNjsHng,2017-10-26 02:10:21+00:00,
63,i_luv_ewe,#True #ChronicLymeDisease #ChronicIllness pic.twitter.com/IXY4egG2r8,2017-10-26 00:34:30+00:00,
64,healthcpn,Chronic Lyme Disease – Metaphysical and Spiritual Aspects http:// healthcpn.com/chronic-lyme-d isease-metaphysical-and-spiritual-aspects/ … #ChronicLymeDisease #health,2017-10-24 19:28:38+00:00,
65,ChristieMLeto,Please #MedicalAndNursingStudents Read all you can about #LymeDisease &#ChronicLymeDisease You are the future those of us are depending on https:// twitter.com/ptdeducation/s tatus/922474047832764419 …,2017-10-24 01:53:14+00:00,
66,ChristieMLeto,#ChronicLymeDisease #PoliticalMess we’re all suffering through! https:// twitter.com/science_srh/st atus/922623288643407873 …,2017-10-24 00:58:26+00:00,
67,bekindforlyme,Tonight starts #lymewars on nbcnews 5:30est about #lymedisease #chroniclymedisease . . . Thank… https://www. instagram.com/p/Bamj9yvFQXe/,2017-10-23 19:44:07+00:00,
68,KenPledger,The hidden epidemic - Lyme disease. Checkout http:// youtu.be/sxWgS0XLVqw #lyme #chroniclymedisease #lymedisease,2017-10-18 17:34:10+00:00,
69,KenPledger,"@YolandaHFoster speech on her #ChronicLymeDisease is a must watch https:// m.youtube.com/watch?v=6djL18 mfXj8&feature=youtu.be&a= … ""We must Speak Up"" #LymeDisease the silent killer",2017-10-18 17:28:54+00:00,
70,KenPledger,Being strong is the only choice. https:// twitter.com/inspireme39/st atus/595650712354295809 … #chroniclymedisease,2017-10-18 16:17:05+00:00,
71,KenPledger,Lyme Disease in Australia - Tahlia Smith https:// m.youtube.com/watch?feature= player_embedded&v=Hog89DX00Lg … #ChronicLymeDisease #lymedisease,2017-10-18 12:44:51+00:00,
72,KenPledger,Lyme disease in nearly all 50 states. http://www. lymenow.com #lymedisease #chroniclymedisease,2017-10-18 12:42:31+00:00,
73,KenPledger,Many children get sick without ever developing the infamous bull's-eye. Checkout http:// yahoo.com/parenting/your -kid-could-have-lyme-disease-and-you-might-not-125515899393.html … #lyme #chroniclymedisease,2017-10-18 11:41:22+00:00,
74,WarriorsLaursen,"@WilliamAHirsch , my Stepmother was diagnosed w/ #ChronicLymeDisease . Costs $400/wk to treat. Insurance won't cover. https://www. gofundme.com/lauries-uncove red-medical-expenses …",2017-10-16 21:03:40+00:00,
75,WarriorsLaursen,My stepmother has #ChronicLymeDisease and Treatments are not covered by #MedicalInsurance . Please help if you can. https://www. gofundme.com/lauries-uncove red-medical-expenses%E2%80%AC …,2017-10-16 20:59:58+00:00,
76,CassidyMaree30,The Bad Days Blues https:// thelymediary.wordpress.com/2017/10/13/the -bad-days-blues/ … #ChronicLymeDisease,2017-10-13 14:03:44+00:00,
77,i_luv_ewe,Sciatic. Pain. :-( #Ouch #ChronicLymeDisease,2017-10-11 01:48:43+00:00,
78,ChristieMLeto,Romaine lettuce & apples getting ready for my 1st #Colonic #ImmuneHealth #ChronicLymeDisease I'm coming for you little nasty bugs! #nervous pic.twitter.com/TUKCOBmmE4,2017-10-08 15:02:51+00:00,
79,ChristieMLeto,Good night #Lymies .Thanks for listening & bringing awareness!Tomorrow's another day & my first #colonic ! #ImmuneHealth #ChronicLymeDisease,2017-10-08 03:36:16+00:00,
80,ChristieMLeto,It's about time!! Thank god! Let's pray we finally get the attention & care we deserve! #ChronicLymeDisease #Hope https:// twitter.com/middleagemom/s tatus/916644382991937536 …,2017-10-07 18:36:07+00:00,
81,i_luv_ewe,This point in the treatment cycle is always the worst...yet I survive even when the room spins #ChronicLymeDisease #JesusIsWithMe #Thankful pic.twitter.com/SPD9JE95GZ,2017-10-06 19:42:09+00:00,
82,i_luv_ewe,My brain all day during intense treatment. #ChronicLymeDisease https:// twitter.com/MrActimel/stat us/915251814819356672 …,2017-10-05 19:06:17+00:00,
83,ChristieMLeto,"I needed a shred of hope today, I guess this will be the shred?! #ChronicLymeDisease #FrustratedWithLyme #37YearsOfDenial #ThankYou",2017-10-05 02:08:55+00:00,
84,sammonsmusic,“From the bitterness of disease we learn the sweetness of health.” #chroniclymedisease,2017-10-04 15:57:28+00:00,
85,ChristieMLeto,Amen to that! It's literally eating away at my body once again! #ChronicLymeDisease we need help from #CDC #HHS @IvankaTrump @NYGovCuomo https:// twitter.com/lymenews/statu s/914322685169090561 …,2017-10-02 00:18:49+00:00,
86,i_luv_ewe,#ChronicLymeDisease #Bartonella pic.twitter.com/G3X47dcu57,2017-09-30 22:51:59+00:00,
87,i_luv_ewe,Nothing quite like having a panic attack on a night out. :-( #ChronicLymeDisease #Herx pic.twitter.com/B2MI6vVW6g,2017-09-29 22:43:27+00:00,
88,ChristieMLeto,Omg I love this!! I think I'll blow it up for the fridge #ChronicLymeDisease #ButYouLookSoGood #Spoonies #LymeMom https:// twitter.com/lymewarriorus/ status/912758680122163200 …,2017-09-28 00:21:25+00:00,
89,the_lymefiles,"Remission is great, but it's not a cure. We need a cure. #chronicLymedisease #Alzheimers #Borreliosis #lymecurenow",2017-09-27 02:55:13+00:00,
90,drevdokimow,Advancement in The Management Of Chronic Lyme Disease https:// drevdokimow.quora.com/Advancement-in -The-Management-Of-Chronic-Lyme-Disease?share=67d0c0fd … #LymeDisease #ChronicLymeDisease #LymeCure #NewJersey #illness,2017-09-26 06:27:34+00:00,
91,ChristieMLeto,"Guess that's why I have it?! See you October,17th #ChronicLymeDisease #CommittedtoRemission #SickOfBeingSick #NeedYpur30yrsExpertise",2017-09-26 01:28:41+00:00,
92,MLDSEmaine,#DrKennethLeigner #ChronicLymeDisease #conference @angbetcra35 @CentralMassLyme @Lymenews #keynote #address @PANSlife #Massachusetts pic.twitter.com/jKkBtl4aGB,2017-09-23 13:26:01+00:00,
93,NoellDalaklis,My Story via /r/ ChronicLymeDisease http:// ift.tt/2fnxZUJ,2017-09-22 13:43:56+00:00,
94,ChristieMLeto,#Truth #Awareness #ChronicLymeDisease #Fibromyalgia #EBV #CFS #CMV … https://www. instagram.com/p/BZWCzfYAyQVk xfiyPIrS4n9zSK7Mj8SzmlDOBs0/ …,2017-09-22 13:08:57+00:00,
95,ChristieMLeto,Like #PanicDisorder & #EsophagealSpasms . #ChronicLymeDisease #INeedHelpNow https:// twitter.com/elenafridmd/st atus/906499704359407616 …,2017-09-19 14:34:25+00:00,
96,ChristieMLeto,@LymeAlliance @DrDanielCameron Is #ChronicLymeDisease still being treated as though it doesn't exist by NY? NYS Disability discriminates!?,2017-09-19 13:22:29+00:00,
97,Warriortotruth,You looked beautiful and did amazing! Thank you for raising #ChronicLymeDisease awareness we sure need it. Get rested up #TakeGoodCare,2017-09-19 00:27:32+00:00,
98,ChristieMLeto,After a wknd in the woods w/ #ChronicLymeDisease My favorite quote… https://www. instagram.com/p/BZMa_4bgR3Br n3isDZ5m3OUP-xphGlvBgt82Q80/ …,2017-09-18 19:27:58+00:00,
99,KenPledger,The hidden epidemic - Lyme disease. Checkout http:// youtu.be/sxWgS0XLVqw #lyme #chroniclymedisease #lymedisease,2017-09-18 18:15:05+00:00,
100,KenPledger,"@YolandaHFoster speech on her #ChronicLymeDisease is a must watch https:// m.youtube.com/watch?v=6djL18 mfXj8&feature=youtu.be&a= … ""We must Speak Up"" #LymeDisease the silent killer",2017-09-18 18:14:28+00:00,
101,KenPledger,Being strong is the only choice. https:// twitter.com/inspireme39/st atus/595650712354295809 … #chroniclymedisease,2017-09-18 16:57:06+00:00,
102,KenPledger,The history of Lyme Disease and Lyme Disease 101 http:// mentalitch.com/the-history-of -lyme-disease/ … #lymedisease #chroniclymedisease,2017-09-18 15:48:27+00:00,
103,KenPledger,Many children get sick without ever developing the infamous bull's-eye. Checkout http:// yahoo.com/parenting/your -kid-could-have-lyme-disease-and-you-might-not-125515899393.html … #lyme #chroniclymedisease,2017-09-18 13:57:00+00:00,
104,i_luv_ewe,I know how that feels... #ChronicLymeDisease #LymeIsReal #AwarenessImportant #NeedACure https:// twitter.com/Lymeloonies/st atus/909252247443447809 …,2017-09-17 04:59:58+00:00,
105,LoriGeurin,Kickstart your day with a good read! Is Chronic Lyme Disease Real? Part 1 #lymedisease #chroniclymedisease http:// crwd.fr/2vuiRI7,2017-09-16 06:25:16+00:00,
106,the_lymefiles,"Finally, a twitter account to go with the website started to document my own battle with #chroniclymedisease http://www. lymefiles.com",2017-09-15 17:53:31+00:00,
107,ChristieMLeto,#Fibromyalgia & #Osteoarthritis caused by #ChronicLymeDisease … https://www. instagram.com/p/BZBx4hMAlrUk LRQ-zV2Gav-v28rZtEcc42Y5RA0/ …,2017-09-14 16:16:16+00:00,
108,CarolLynnRye,Very informative debate about #Lyme disease on #BBC Radio Five Live this evening #LymeDisease #chroniclymedisease #gettingbethbetter,2017-09-11 20:35:20+00:00,
109,CassidyMaree30,Latest blog post is up: The Lyme Burden https:// thelymediary.wordpress.com/2017/09/08/the -lyme-burden/ … #ChronicLymeDisease #GetAware,2017-09-08 18:30:05+00:00,
110,adlomax1988,Help me raise £4000 to get treatment for #chroniclymedisease Please #donate and RT. #iv #antibiotics Thanks! https://www. justgiving.com/crowdfunding/a dam-lomax-lyme?utm_id=60&utm_term=Rq863WNz6 …,2017-09-08 11:21:27+00:00,
111,ToRemission,Heartbreaking a 5 year old fighting #chroniclymedisease & her mother pays $600 a month out of pocket for treatment http://www. app.com/story/news/hea lth/2017/09/07/colts-neck-familys-uphill-fight-against-chronic-lyme-disease/636603001/?cookies=&from=global …,2017-09-07 16:47:23+00:00,
112,i_luv_ewe,"Those oh-so-lovely feelings one gets when Flagyl and such collides with ""Aunt Flow"" #Typical #ChronicLymeDisease #Treatment #UGG pic.twitter.com/4gP3WY3rmP",2017-09-07 15:20:54+00:00,
113,ChristieMLeto,"It's really sad, love of gardening can get you so sick you can no longer do what you love! #ChronicLymeDisease #LifetimeOfLyme #LymeIsMyNorm",2017-09-07 11:05:20+00:00,
114,Parentolizer,What It’s Like To Have #LymeDisease ? Here’s 23 Explanations #chronicLymedisease http:// parenting.trendolizer.com/2017/09/what-i ts-like-to-have-lyme-disease-heres-23-explanations.html … pic.twitter.com/5y6p27cGz7,2017-09-07 08:22:06+00:00,
115,ChronicalyCarly,I know I'm high when I'm watching #keyandpeele and laughing - #medicinalmarijuana is real so is #chroniclymedisease,2017-09-07 07:57:23+00:00,
116,LoriGeurin,Kickstart your day with a good read! Is Chronic Lyme Disease Real? Part 1 #lymedisease #chroniclymedisease http:// crwd.fr/2wKAjfN,2017-09-01 17:25:49+00:00,
117,live2runbfree,Beating Lyme Disease http:// j.mp/2wlmjb0 @pam3001 What an insightful look into treating #lymedisease #chroniclymedisease #lymewarrior,2017-08-31 16:11:56+00:00,
118,Lucychrista1,#survivor #winner #fighter #chronicillness #chroniclymedisease #lymediseaseawareness … https://www. instagram.com/p/BYKzw9uAvRw/,2017-08-24 07:56:05+00:00,
119,Lucychrista1,#survivor #winner #fighter #chronicillness #chroniclymedisease #lymediseaseawareness … https://www. instagram.com/p/BYKzw9uAvRw/,2017-08-24 07:54:59+00:00,
120,ststogether,@alliecashel 's Suffering the Silence: #ChronicLymeDisease in an Age of Denial is now available as an #AUDIOBOOK ! https://www. northatlanticbooks.com/shop/suffering -the-silence/ …,2017-08-17 15:49:04+00:00,
121,i_luv_ewe,Like putting on pants without falling on one's face #BadHerxDay #ChronicLymeDisease,2017-08-12 18:25:52+00:00,
122,ChronicalyCarly,Omg I'm so sick. #chroniclymedisease #chronicillness #ChronicPain I'm gonna go die some.. ttyl boos Don't forget about me @hannahferrier_,2017-08-10 06:30:43+00:00,
123,i_luv_ewe,"Nice infographic. I have late stage #ChronicLymeDisease , but am in treatment for it. One day everything will be in remission.",2017-08-10 02:42:05+00:00,
124,gomescharlotte,"What happened when I gave up Gluten, Dairy and Sugar #HealthyFood #ChronicLymeDisease http:// bit.ly/2uyyWLq pic.twitter.com/mfP7pEZ3PZ",2017-08-07 12:30:48+00:00,
125,DiagnosisA69_20,A little love to any #parent who has a #chronic #illness . You are not failing! https:// themighty.com/2017/07/chroni cally-ill-parent-feeling-like-a-failure/ … #chroniclife #chroniclymedisease,2017-08-06 13:10:56+00:00,
126,PrettyInkstain,Getting closer to stem cell day! Will u consider helping me fund this last option #chroniclymedisease http://www. youcaring.com/LisaWillThrive Thank you!,2017-08-05 20:23:48+00:00,
127,LymeChallenge,#LymeDiseaseChallenge : Denial of #ChronicLymeDisease causes tremendous patient suffering #LymeWars From Dana... http:// fb.me/8HaaMZzp4,2017-08-04 12:01:29+00:00,
128,CassidyMaree30,Getting paralyzed the day you leave for vacation: priceless #ChronicLymeDisease,2017-07-30 14:32:06+00:00,
129,EarthyMama13,#officebinge when your body hates you today #chroniclymedisease pic.twitter.com/7wmXpE88Yp,2017-07-29 23:24:05+00:00,
130,Lady_Sandikci,"its hard enough having #ChronicLymeDisease and functioning in public, but having one of your #autistic kids scream? dirty looks not wanted!",2017-07-28 17:33:52+00:00,
131,CassidyMaree30,Not a joking matter and I sincerely hope @andersoncooper got some antibiotics #ChronicLymeDisease #NoOneIsImmune https:// twitter.com/livekellyryan/ status/889918555365531648 …,2017-07-26 15:31:16+00:00,
132,mjplay,I've been overwhelmed with physical illness lately and today has left me disheartened. Pray that I feel better soon. #chroniclymedisease,2017-07-22 04:01:29+00:00,
133,DanielleMil44,Spread the word about #ChronicLymedisease and watch yourself for ticks this summer! https://www. youcaring.com/beverlymiller- 837270 …,2017-07-20 00:26:59+00:00,
134,9AcresDesigns,To #parents with #chronicillness who are doing their #best but feel like they are #failing . https:// themighty.com/2017/07/chroni cally-ill-parent-feeling-like-a-failure/ … #chroniclymedisease,2017-07-19 13:31:37+00:00,
